Section,Category,Code,Question,A,B,C,D,Correct,Answer source
Written,Law & firearms,Q116,What is the minimum bullet diameter that is legally required to take deer in Northern Ireland?,"0.236""","0.240""","0.243""","0.270""",A,Known (in app)
Written,Law & firearms,Q117,"In Northern Ireland, where would you go to for the definitive up to date Red hind season?",Natural Resources Wales,"Department of Agriculture, Environment and Rural Affairs",NatureScot,Natural England,B,Known (in app)
Written,Law & firearms,Q118,"In Northern Ireland, where would you go to for the definitive up to date fallow buck season?",Natural England,"Department of Agriculture, Environment and Rural Affairs",Natural Resources Wales,NatureScot,B,Known (in app)
Written,Law & firearms,Q119,"In Northern Ireland, where would you go to for the definitive up to date sika stags season?",NatureScot,Natural England,"Department of Agriculture, Environment and Rural Affairs",Natural Resources Wales,C,Known (in app)
Written,Law & firearms,Q120,"In Northern Ireland and in certain circumstances shotguns firing a single non-spherical projectile weighing more than 350 grains (22.68 grammes), or AAA shot (.230 inches / 5.16 mm) may be used to kill deer which are not injured but doing serious damage to crops. Which of the following gauge of shotgun may be used?",A 20 bore shot gun or larger,A 16 bore shotgun or larger,A 12 bore shotgun or larger,A 410 bore may be used but with slug only,C,Known (in app)
Written,Law & firearms,Q121,"In Northern Ireland, in certain circumstances, you may lend your rifle to a non-firearm certificate holder providing?",They must be over 14 years of age and resident on the land in question,They must be over 16 years of age and the usage is for sporting purposes,"They must be over 18 years, not be a ""prohibited person"" and must be in your presence when using the rifle",They can be of any age but must be resident on the land over which you are planning to shoot,C,Known (in app)
Written,Law & firearms,Q122,"In Northern Ireland it is illegal to shoot any deer at night unless injured. How is ""Night"" defined in law?",When you cannot read a car number plate at 25 metres,Between one hour after sunset and one hour before sunrise,"During official ""lighting up time"" as published in the local newspapers",Between 2000 hours GMT and 0800 hours GMT,B,Known (in app)
Written,Law & firearms,Q123,Which type of rifle bullet must be used to cull deer in Northern Ireland?,Soft point bullets of up to 90 grains,Hollow point bullets of over 120 grains with a muzzle energy of 1650 ft/lbs,An expanding bullet weighing not less than 100 grains designed to deform in a predictable manner upon entering tissue,Full metal jacket bullets designed to tumble on impact and thereby increase the knock down effect on striking a deer,C,Known (in app)
Written,Zeroing & ballistics,Q124,"If a shot at a deer for no apparent reason misses or does not hit where expected, before shooting at another deer a responsible stalker should do what?",Thump the rifle butt gently to settle the action back into its bedding,Give the rifle a thorough cleaning and oiling,Fire carefully at a target to check the rifle is still correctly zeroed,Try a different bullet weight to see if things improve,C,Known (in app)
Written,Zeroing & ballistics,Q125,"If your rifle is zeroed ""spot on"" at 100 yards, approximately where will your shots at 200 yards go?",A few inches high,A few inches low,15 inches low,30 inches low,B,Known (in app)
Written,Zeroing & ballistics,Q126,When taking a shot in the field it is good practice and an aid to accuracy?,To rest the barrel of your rifle on top of a hard surface for support,To push the barrel of your rifle up against a fence wire for support,To push the barrel of your rifle sideways against a tree for support,To place the hand holding the fore-stock between a firm surface and the stock for support,D,Known (in app)
Written,Zeroing & ballistics,Q127,Before zeroing your rifle what should you do?,Clean the bore and check the bedding and mounting screws are tight,Alter trigger pressure to maximum,Oil the bore and ammunition lightly and release the bedding screws half a turn,Alter the trigger pressure to minimum,A,Known (in app)
Written,Zeroing & ballistics,Q128,"If your rifle is shooting 3 inches left when you sight in at 25 yards, at 100 yards where will it shoot?",3 inches left,6 inches left,9 inches left,12 inches left,D,Known (in app)
Written,Zeroing & ballistics,Q129,"If firing at a deer 100 yards away with a strong 30 mph wind blowing from left to right and you have to take the shot, where should you aim?",3 inches right,3 inches left,At the usual place,In the centre of the body to ensure a hit,B,Known (in app)
Written,Zeroing & ballistics,Q130,Continental or metric rifle calibres are often described with two numbers e.g. 6.5 x 57; 7 x 57; 7 x 64. What does the second figure refer to?,The amount of powder in grains,The bullet weight in grains,The case length in millimetres,Barrel length in centimetres,C,Known (in app)
Written,Zeroing & ballistics,Q131,"If, on a telescopic sight one click of the adjustment knob will move the bullet impact 1 centimetre at 100 metres. How far will bullet impact move per click at 25 metres?",¼ centimetre,1 centimetre,2 centimetres,8 centimetres,A,Known (in app)
Written,Zeroing & ballistics,Q132,Define what zeroing a rifle and telescopic sight involves?,Adjusting your sight so that your aim coincides with your group at a chosen range,Moving the sight adjustment knobs to zero before firing a test group,Aligning the bore with a collimator,Ensuring the rifle shoots small groups,A,Known (in app)
Written,Zeroing & ballistics,Q133,If you leave oil in your barrel what is likely to happen to your first shot at 100 metres?,It will go to the point where the rifle is normally zeroed,It will go exactly where you aim,It will go somewhere other than where the rifle is normally zeroed,It will decrease wear and tear on the barrel,C,Known (in app)
Written,Zeroing & ballistics,Q134,What is the spin imparted to a bullet by the rifling intended to do?,Increase its velocity,Improve its stability in flight,Help its penetration on the target,Increase the muzzle energy,B,Known (in app)
Written,Zeroing & ballistics,Q135,"What is the definition of the term ""headspace""?","The distance between your head and the telescopic sight on your rifle, when the reticule is in focus",The distance between the closed bolt face and a datum point on the chambered cartridge case,The size of a deer's head in relation to the reticule,The distance between the firing pin and the primer when the rifle is cocked,B,Known (in app)
Written,Zeroing & ballistics,Q136,Describe what a bullet's trajectory is?,The height of the bullet above the line of sight at half the zeroed range,The height of the bullet above the line of sight at twice the zeroed range,The path of the bullet in flight,The drop below the line of sight after zero range has been reached,C,Known (in app)
Written,Zeroing & ballistics,Q137,You are offered some ammunition hand loaded by a stalker which he finds performs well in his rifle. What should you do?,Test the ammunition when you next go to the range,Politely refuse the offer,Disassemble the round to check the components,Place an order for another 100 rounds,B,Known (in app)
Written,Zeroing & ballistics,Q138,Obturation is necessary to form an effective seal between the cartridge case and the chamber of your rifle. How might an ineffective seal be indicated?,A misfire,Black streaks from the neck down the outside of the case,Flattened primer,Excessive flash from muzzle,B,Known (in app)
Written,Species: Roe,Q139,Following the roe rut there is a delay before any fertilised eggs implant in the wall of the uterus and develop. When would you normally expect to see at least one foetus in the womb of a pregnant doe?,Mid September-October,Mid October-November,Mid November-December,Mid December-January,D,Known (in app)
Written,Species: Roe,Q140,When is a roe buck's testosterone levels highest?,January,May,July,October,C,Known (in app)
Written,Species: Roe,Q141,Scrapes below a fraying stock are associated with the territorial marking behaviour by the male of which of the following deer species?,Fallow deer,Sika deer,Roe deer,Red deer,C,Known (in app)
Written,Species: Roe,Q142,When do mature roe bucks usually start to clean the velvet from their antlers?,By the end of December,By the end of January,By the end of March,By the end of May,C,Known (in app)
Written,Species: Roe,Q143,Which of the following deer species has no visible tail?,Red deer,Roe deer,Muntjac deer,Fallow deer,B,Known (in app)
Written,Species: Roe,Q144,What are the rough knobbles running up the majority of mature roe buck antlers called?,Coronets,Pearling,Pedicles,Beams,B,Known (in app)
Written,Species: Roe,Q145,Which of the following female deer species frequently has twins?,Red deer,Fallow deer,Roe deer,Muntjac deer,C,Known (in app)
Written,Species: Roe,Q146,Delayed implantation of the fertilised egg is associated with which deer species?,Muntjac deer,Chinese water deer,Roe deer,Sika deer,C,Known (in app)
Written,Species: Roe,Q147,At what time of the year do most roe bucks cast their antlers?,April/May,September/October,November/December,February/March,C,Known (in app)
Written,Species: Roe,Q148,In which month are most roe kids born?,March/April,April/May,May/June,June/July,C,Known (in app)
Written,Species: Roe,Q149,Roe bucks and does tend to defend a territory throughout the summer months. Under normal circumstances which is most likely?,For a buck's territory to overlap with that of another buck,For a buck's territory to be the same size and shape throughout its life,For a buck to hold a territory trying to exclude all other mature bucks,For a doe to hold an exclusive territory trying to exclude all other does including the kids of that year,C,Known (in app)
Written,Species: Roe,Q150,In what month does the roe rut usually begin?,July,August,September,October,A,Known (in app)
Written,Species: Roe,Q151,In winter you see a roe deer without antlers but showing a downward projecting tuft of hair below the rump patch (caudal disc). What does this indicate?,A buck who has shed or not yet grown antlers,A hummel roe buck,A buck kid which has not yet become fertile,A doe,D,Known (in app)
Written,Species: Roe,Q152,What are the best weather conditions for calling roe bucks during the rut?,Humid and still,Cool and breezy,Heavy rain and wind,Foggy,A,Known (in app)
Written,Species: Roe,Q153,The white throat markings found on some roe deer are called?,Blazers,Collars,Gorget patches,Throat glands,C,Known (in app)
Written,Species: Roe,Q154,What is the normal reaction if a roe is frightened and runs off?,It usually sticks its tail straight up in the air,Its white rump patch is usually fluffed out,It whistles as a warning to other deer,It hides its white rump patch to confuse predators,B,Known (in app)
Written,Species: Roe,Q155,"In the summer, you see a small deer without antlers look at you over a bush. It has pointed ears which are rimmed in black and a muzzle with white patches on its chin and upper lips. What is it?",A muntjac doe,A chinese water deer,A fallow doe,A roe doe,D,Known (in app)
Written,Species: Roe,Q156,Which of the following best describes the behaviour of newly born roe deer kids?,They follow the doe closely as soon as they are born,They are closely guarded by the buck while the doe feeds,They run away swiftly if discovered the first week after birth,They are left hidden between feeds by their mother until strong enough to follow her,D,Known (in app)
Written,Species: Roe,Q157,How is roe deer rutting activity frequently initiated?,By the doe enticing the buck to follow her until mating can take place,By the buck moving into the doe's herd feeding ground,By bucks and their rutting stands barking at the does,By does coming into season within days of giving birth,A,Known (in app)
Written,Species: Roe,Q158,During which month would you observe your roe deer to determine the previous year's recruitment to the population?,October,March,June,August,B,Known (in app)
Written,Species: Roe,Q159,In summer you see saplings frayed at 30-70 centimetres above ground level and an associated triangular scrape. This is most likely to have been done by male deer of which species?,Red,Fallow,Chinese water,Roe,D,Known (in app)
Written,Species: Roe,Q160,What is the minimum recommended height of tree shelter to be used in new plantations where roe deer are the only species present?,0.4 metre,1.5 metres,0.9 metres,1.2 metres,D,Known (in app)
Written,Species: Roe,Q161,A male roe buck kid which develops and casts very small knob antler in its first winter is called?,A spiker,A button-buck,A royal,A staggie,B,Known (in app)
Written,Species: Roe,Q162,"In late winter, roe deer:",Are seen in larger mixed sex groups,Remain as solitary individuals,Form all male groups,Form all female groups,A,Known (in app)
Written,Species: Roe,Q163,When do most roe does eject their last season's kids?,January,February,April,July,C,Known (in app)
Written,Species: Roe,Q164,How many points does EACH antler of a typical mature roe buck have?,1 point,3 points,6 points,12 points,B,Known (in app)
Written,Species: Roe,Q165,"Between March and August, mature roe bucks are generally?",Territorial,Herding,Wide-ranging,Nomadic,A,Known (in app)
Written,Species: Roe,Q166,How is the feeding pattern of roe deer generally described?,Bulk,Omnivorous,Grazing,Selective,D,Known (in app)
Written,Species: Roe,Q167,Which of the following mature female deer is territorial during the summer months?,Sika,Roe,Red,Fallow,B,Known (in app)
Written,Species: Roe,Q168,The natural life-span of a roe deer is usually no longer than?,10 years,15 years,4 years,5 years,A,Known (in app)
Written,Species: Fallow,Q169,"""Pronking"" is a gait usually associated with which species of deer?",Roe,Fallow,Red,Chinese water deer,B,Known (in app)
Written,Species: Fallow,Q170,The female deer of which species is correctly called a doe as opposed to a hind or cow?,Red deer,Fallow deer,Sika deer,Reindeer,B,Known (in app)
Written,Species: Fallow,Q171,"A pronounced hanging ""tassel"" and ""Adam's apple"" are associated with the males of which of the following deer species?",Red deer,Sika deer,Fallow deer,Roe deer,C,Known (in app)
Written,Species: Fallow,Q172,Mature fallow bucks usually carry antlers which are?,Narrow and eight pointed,Wide and flattened or palmated,"Wide, round and multi pointed",Short stubby and six pointed,B,Known (in app)
Written,Species: Fallow,Q173,"How would you describe the rump markings of a ""common"" variety of fallow deer?",A white disc with black horseshoe-shaped mark round the upper side and a broad black stripe on the tail,A white disc with pale brown horseshoe-shaped mark round the upper side and a white tail,A pale ginger rump with no markings,A pale yellow rump which stretches well up the back,A,Known (in app)
Written,Species: Fallow,Q174,What does the call of a rutting fallow buck on his stand sound like?,A sharp single bark that is not repeated,A terrier like bark repeated continuously,A whistle rising and falling in pitch,A rhythmic belching noise repeated continuously for some minutes,D,Known (in app)
Written,Species: Fallow,Q175,"The male of which deer species usually holds a rutting ""stand""?",Red deer,Chinese water deer,Muntjac deer,Fallow deer,D,Known (in app)
Written,Species: Fallow,Q176,When are the majority of fallow fawns born?,April,May,June,August,C,Known (in app)
Written,Species: Fallow,Q177,When is the peak of the fallow rut?,May,July/August,October/November,December,C,Known (in app)
Written,Species: Fallow,Q178,The adult coat of which of the following species usually displays many white spots in the summer?,Roe deer,Fallow deer,Muntjac deer,Red deer,B,Known (in app)
Written,Species: Fallow,Q179,In the spring fallow deer are usually found?,In groups comprising a mix of all age groups and both sexes,In groups containing either young or old animals but seldom both,In groups with the does and fawns living separately from the older bucks,As single animals or a doe and fawn but seldom in groups,C,Known (in app)
Written,Species: Fallow,Q180,In what month do the majority of fallow bucks usually start to shed their velvet?,July,August,September,October,B,Known (in app)
Written,Species: Fallow,Q181,What is the correct name for black coloured fallow deer?,Menil,Common,Melanistic,Blue coats,C,Known (in app)
Written,Species: Fallow,Q182,What colour are the caudal markings and back stripe on menil fallow?,Black,Dark grey,Light brown,Pink,C,Known (in app)
Written,Species: Fallow,Q183,"Compared to sika deer, fallow deer have:",A longer tail,A shorter tail,A similar length of tail,No tail at all,A,Known (in app)
Written,Species: Fallow,Q184,The top points along the palm of a fallow buck's antlers are called?,Spellers,Tops,Pearls,Offers,A,Known (in app)
Written,Species: Fallow,Q185,For the rut the neck of a fallow buck looks much thicker because?,A mane has grown,Neck muscles have enlarged,Fat has been deposited under the skin,The skin has become very much thicker,B,Known (in app)
Written,Species: Fallow,Q186,With which other species will fallow deer hybridise?,Red,Sika,Roe,None of the above,D,Known (in app)
Written,Species: Fallow,Q187,Which of these species seldom has upper canine teeth when mature?,Red,Muntjac,Fallow,Sika,C,Known (in app)
Written,Species: Fallow,Q188,The complete permanent dentition of a fallow deer consists of how many teeth?,30,32,36,38,B,Known (in app)
Written,Species: Fallow,Q189,Which of these deer form large social groups?,Muntjac,Roe,Chinese water,Fallow,D,Known (in app)
Written,Species: Fallow,Q190,Male fallow deer have usually left their mother's social group by the age of?,9 months,12 months,18 months,2 years,D,Known (in app)
Written,Species: Fallow,Q191,During the rut fallow bucks:,Gorge themselves to put on weight,Spend more time than usual lying around in all male groups,Feed much less than usual,Develop thin scrawny necks,C,Known (in app)
Written,Species: Fallow,Q192,By what age do fallow deer generally attain a full set of erupted permanent teeth?,11-13 months,16-19 months,24-30 months,34-38 months,C,Known (in app)
Written,Species: Fallow,Q193,A fallow buck is killed in autumn. The end of the penis sheath is black/brown and looks like dry cracked earth. What is this a sign of?,Venereal disease,Normal rutting condition,Congenital abnormality,Infection after damaging the skin,B,Known (in app)
Written,Species: Red,Q194,Which of the following species of deer is considered native to the British Isles i.e. resident in these Isles since the Ice Age?,Red,Sika,Fallow,Reindeer,A,Known (in app)
Written,Species: Red,Q195,"The male of which of the following species ""roars"" during the rut?",Roe deer,Red deer,Fallow deer,Sika deer,B,Known (in app)
Written,Species: Red,Q196,"What type of antler growth does a red deer ""hummel"" have?",Only one antler,No antlers,Two antlers without any points above the brow tines,Spikes covered in sponge velvet,B,Known (in app)
Written,Species: Red,Q197,A yeld red hind is one which has?,Twin calves at heel that year,One calf that year and a follower from the year before at heel,No calf being suckled that year,One calf being suckled that year,C,Known (in app)
Written,Species: Red,Q198,"To what is the term ""knobber"" in red deer attributed to?",A mature stag which never grows antlers,A young stag growing his first antlers,An old stag who has shed his antlers early,A stag which cannot shed the velvet off his antlers,B,Known (in app)
Written,Species: Red,Q199,Mature highland red stags and hinds:,Form separate single sex herds except during the rut,Occupy the same core area and remain in mixed herds all the year,Can be found in mixed herds but only on the best feeding areas in the summer,Pair for life and are usually found together,A,Known (in app)
Written,Species: Red,Q200,The male of which of the following species grows a mane in the rut?,Red deer,Roe deer,Fallow deer,Muntjac deer,A,Known (in app)
Written,Species: Red,Q201,The majority of highland red deer when resting:,Usually lie down watching uphill,Usually lie down watching downhill,Don't appear to favour any direction,Turn round constantly to keep a look-out in all directions,B,Known (in app)
Written,Species: Red,Q202,When feeding on the open hill red deer:,Generally keep their backs to the wind,Keep their heads into the wind,Often do so lying down to stay out of the wind,Have no special feeding pattern,B,Known (in app)
Written,Species: Red,Q203,What is the feeding pattern of mature red stags during the peak of the rut?,They feed heavily all the time to keep up their strength,They feed at night when rutting activity stops,They feed very little and lose weight,They feed by day but are guarding their hinds at night,C,Known (in app)
Written,Species: Red,Q204,When do the majority of red stags normally cast their antlers?,December-February,March-May,May-July,September-November,B,Known (in app)
Written,Species: Red,Q205,In what month is the usual peak of the red deer rut?,August,October,November,December,B,Known (in app)
Written,Species: Red,Q206,How would you best describe the rump patch of red deer in winter coat?,It is yellowish and runs up onto the back above the tail,It is more prominently white than roe or sika,It is surrounded by a prominent black border,It has a black stripe down the tail,A,Known (in app)
Written,Species: Red,Q207,"In daytime during July/August in Scotland, highland red stags are usually found:",In stag herds on the low grounds where there is good feeding,In stag herds on the high ground,In mixed herds with the hinds,Alone on the river flats feeding to put on fat,B,Known (in app)
Written,Species: Red,Q208,What is the general movement pattern of open hill red deer?,They move to higher ground during the hours of darkness,They move to lower ground during the hours of darkness,They change their range very little day or night,They never move at night,B,Known (in app)
Written,Species: Red,Q209,Which of the following statements best describes the damage inflicted on trees by red deer?,Red deer eat tree bark by stripping it off using their lower incisors,Red deer cannot eat bark because they have no upper incisors,"Red deer never damage tree bark, they only eat shoots",Red deer only damage bark by thrashing with antlers,A,Known (in app)
Written,Species: Red,Q210,When are most highland red deer calves born?,April,June,July,August,B,Known (in app)
Written,Species: Red,Q211,How many offspring will wild red deer hinds produce?,They will often bear twin calves,They will usually bear twin calves,They will very rarely bear twin calves,They will never bear twin calves,C,Known (in app)
Written,Species: Red,Q212,At what distance can red deer detect human wind-borne scent?,No more than 100 yards,No more than 500 yards,No more than 800 yards,Over a mile under certain conditions,D,Known (in app)
Written,Species: Red,Q213,Wallowing by red deer?,Is done by both stags and hinds,Is done only by stags,Is done only by hinds,Is only rarely done and never in daylight,A,Known (in app)
Written,Species: Red,Q214,"In red deer, a ""Royal"" head is?","14 points with 4 in a ""crown"" on each top","12 points with 3 in a ""crown"" on each top",10 points with a good fork on each top,20 points with 10 on each antler,B,Known (in app)
Written,Species: Red,Q215,"After having bred once, a highland red hind is likely to?",Bear a calf every year without fail,Occasionally miss a year and not bear a calf,Bear a calf at any time of the year,Bear a calf only if there are plenty of stags around,B,Known (in app)
Written,Species: Red,Q216,"During the red deer rut, the most hinds are likely to be held by:",The lighter faster stags,The young energetic stags,The stags with the most points on their antlers,The heaviest stags with the best body condition,D,Known (in app)
Written,Species: Red,Q217,What is indicated by a red deer which watches intently and stamps its foot?,It is trying to dominate a younger animal close by,"It is suspicious at something seen, but not identified",It is stirring up the peat prior to wallowing,It is trying to shake off ticks,B,Known (in app)
Written,Species: Red,Q218,When do red stags usually stand on their hind legs and box with their forefeet?,At the height of the rut,After they have cast their antlers,When at a winter feed site,When dominating a hind,B,Known (in app)
Written,Species: Red,Q219,"If a red deer calf is orphaned early in the open hind season, might it?",Survive well because it is independent of its dam,Pine away for lack of parental attention,Be adopted and fed by another hind,Be taken by a mature stag to join the stag herd,B,Known (in app)
Written,Species: Red,Q220,What best describes a red hind's alarm call?,A deep bark,A loud sharp squeal,A short whistle,A low whicker,A,Known (in app)
Written,Species: Red,Q221,How is a newly-born red deer calf coloured?,Pale ginger all over,Covered in black woolly fur,Chestnut coloured with dappled white spots,Just like a miniature adult in colour,C,Known (in app)
Written,Species: Red,Q222,Which of the following best describes the behaviour pattern within a red deer hind herd?,There is a definite pecking order of dominance,All animals are equal and share feeding,The lightest and quickest animals are dominant,Calves are always allowed to take precedence,A,Known (in app)
Written,Species: Red,Q223,In order to contain or exclude red deer an effective fence should be?,1 metre high,1.3 metres high,1.7 metres high,2 metres high,D,Known (in app)
Written,Species: Sika,Q224,To which species are sika deer most closely related to?,Red deer,Roe deer,Fallow deer,Muntjac deer,A,Known (in app)
Written,Species: Sika,Q225,Which colour configuration do Japanese sika hinds appear to have in winter coat?,A golden brown colour all over,A two-tone colouring chestnut brown on top mushroom grey below,A fresh red and white dappled coat,A drab sooty grey colour all over with paler underbelly,D,Known (in app)
Written,Species: Sika,Q226,Sika hinds usually?,Give birth to a single calf,Give birth to twins,Do not breed till they are three years old,Have multiple births,A,Known (in app)
Written,Species: Sika,Q227,What colour is the velvet covering the antlers of Japanese sika stags?,Dark red,Pale brown,Black,Russet,C,Known (in app)
Written,Species: Sika,Q228,The metatarsal gland on the outer side of the hock of a mature Japanese sika deer is?,"Conspicuous, 2 inch long and white or pale grey in colour",Darker than the rest of the hock,Very hairy and gummed up with secretions,Not easy to see at all,A,Known (in app)
Written,Species: Sika,Q229,When are most sika calves born?,April,June,August,October,B,Known (in app)
Written,Species: Sika,Q230,Which species are sika deer closest in size to?,Red deer,Fallow deer,Roe deer,Muntjac deer,B,Known (in app)
Written,Species: Sika,Q231,How many points on their antlers do mature Japanese sika stags normally have?,2 point heads,4 point heads,8 point heads,12 plus point heads,C,Known (in app)
Written,Species: Sika,Q232,What is the colour of Japanese sika deer's summer coat?,Black and brown with faint spots,Nondescript grey and pale belly,Chestnut with white spots and pale belly,Foxy red all over,C,Known (in app)
Written,Species: Sika,Q233,Which deer gives a repeated rising and falling whistle in the rut?,Muntjac deer,Roe deer,Sika deer,Red deer,C,Known (in app)
Written,Species: Sika,Q234,"A deer which has a pronounced ""U"" or ""V"" shaped pale line across its brows and frowns when it looks at you is likely to be what?",A chinese water deer,A fallow deer,A red deer,A sika deer,D,Known (in app)
Written,Species: Sika,Q235,When do most mature sika stags cast their antlers?,January,March,May,June,B,Known (in app)
Written,Species: Sika,Q236,How is a sika stags rutting activity in woodland best described?,Herding hinds into a harem,Using a rutting stand to attract hinds,Defence of a territory,A mixture of all three strategies,D,Known (in app)
Written,Species: Sika,Q237,How is sika deer feeding behaviour best described?,Mainly browsing,Only grazing,A mixture of browsing and grazing,Subsisting on tree bark,C,Known (in app)
Written,Species: Sika,Q238,The word hind is correctly applied to the female of which of the following deer species?,Roe deer,Sika deer,Fallow deer,Muntjac,B,Known (in app)
Written,Species: Sika,Q239,Which of the following species most obviously flares out the hair on its rump patch when alarmed?,Fallow deer,Sika deer,Chinese water deer,Red deer,B,Known (in app)
Written,Species: Sika,Q240,Which of the following deer wallow most readily?,Roe deer,Muntjac deer,Sika deer,Chinese water deer,C,Known (in app)
Written,Species: Sika,Q241,What is included in a territorial display typical of a sika stag in woodland?,Roaming continuously during daylight hours,Leaving piles of droppings on the rides surrounding their territories,Scoring the bark of trees deeply with their antler points,Chewing up fir cones and regurgitating the product at their territory boundaries,C,Known (in app)
Written,Species: Sika,Q242,How do sika stags mark out territories in the rut?,With wallows,With scrapes in which they often urinate,By bole scoring trees,All of the above,D,Known (in app)
Written,Species: Sika,Q243,On which coat do wild sika deer have readily visible white spots?,Winter coat only,Summer coat only,Neither coat,Both coats,B,Known (in app)
Written,Species: Sika,Q244,A sika/red hybrid often shows traits of both species. Which characteristic if found on an adult red deer might suggest it is a sika/red hybrid?,A yellowish rump patch,A broad muzzle,Long narrow hairy ears,Prominent white (metatarsal) glands on outside of hocks,D,Known (in app)
Written,Species: Sika,Q245,"Which male deer sometimes shed ""milky tears"" during the rut?",Roe deer,Fallow deer,Red deer,Sika deer,D,Known (in app)
Written,Species: Sika,Q246,How would you describe a sika hind's alarm call?,A deep resounding bark,A single loud bark,A long wailing whistle,A short sharp squeak,D,Known (in app)
Written,Species: Sika,Q247,A mature sika stag typically:,Lives a solitary life all year except during the rut,Lives in a stag herd except during the rut,Lives in a mixed age and sex group all year round,Lives in a tight family group with a hind and her offspring year round,B,Known (in app)
Written,Species: Sika,Q248,Tree bole scoring with antler points is predominantly done by which of the following species?,Muntjac,Roe,Sika,Fallow,C,Known (in app)
Written,Species: Muntjac,Q249,From approximately what age are muntjac does able to conceive?,14 months,18 months,12 months,7 months,D,Known (in app)
Written,Species: Muntjac,Q250,In what respect are adult muntjac bucks different from the males of native deer species?,They have tusks that are visible externally,They do not have antlers,They have no visible tail,Their ears are round and hairy,A,Known (in app)
Written,Species: Muntjac,Q251,Which species of deer does not have a raised patch of hairs on the hocks?,Sika,Fallow,Roe,Muntjac,D,Known (in app)
Written,Species: Muntjac,Q252,"Which species of deer has scent glands at all of these sites: frontal, sub orbital, interdigital and in the reproductive tract?",Fallow,Muntjac,Chinese water deer,Roe,B,Known (in app)
Written,Species: Muntjac,Q253,A mature muntjac buck's home range:,Is a myth muntjac are not territorial,Usually includes the home ranges of several females,Changes radically with the seasons,Is shared with a number of other mature bucks,B,Known (in app)
Written,Species: Muntjac,Q254,Which of these foods is least preferred by muntjac?,Buds and leaves of deciduous shrubs,Flowers,Conifer leaves,Fungi,C,Known (in app)
Written,Species: Muntjac,Q255,By what age have muntjac fawns virtually lost their spots?,One month,Two months,Three months,Four months,B,Known (in app)
Written,Species: Muntjac,Q256,What is the typical live body weight for an adult female muntjac?,8 kg,12 kg,16 kg,18 kg,C,Known (in app)
Written,Species: Muntjac,Q257,When do most mature Muntjac bucks cast their antlers?,December/January,February/March,April/May,August/September,C,Known (in app)
Written,Species: Muntjac,Q258,A muntjac buck's first antlers,Always have small coronets and brow tines,Are usually simple thin spikes with no coronets or brow tines,Are always long thick spikes with no brow tines,Are cast on a date depending on the animals date of birth,B,Known (in app)
Written,Species: Muntjac,Q259,Muntjac are:,Seldom seen alone,Usually seen in ones and twos,Usually seen in small herds,Usually seen in large herds,B,Known (in app)
Written,Species: Muntjac,Q260,Which of these male deer might be seen mating when they have just cast their antlers?,Roe,Sika,Muntjac,Fallow,C,Known (in app)
Written,Species: Muntjac,Q261,How often can muntjac females bare a fawn?,Once a year in February,Twice a year in June and December,Every three months,Every seven months,D,Known (in app)
Written,Species: Muntjac,Q262,What noise do mature muntjac make when suspicious or disturbed?,A shrill sharp squeak,A high pitched repetitive bark,A single deep bark,A triple toned whistle,B,Known (in app)
Written,Species: Muntjac,Q263,What is the typical antler configuration for the adult male muntjac?,No antlers,Long palmated antlers,Short hooked antlers,6 point stubby antlers,C,Known (in app)
Written,Species: Muntjac,Q264,What is the normal period between the birth of a muntjac fawn and the end of lactation?,About 2 months,About 6 months,About 7 months,About 9 months,A,Known (in app)
Written,Species: Muntjac,Q265,A small deer runs away from you in thick cover with its tail straight up in the air the underside is pure white. Which species is it likely to be?,Muntjac deer,Roe deer,Chinese water deer,Red deer,A,Known (in app)
Written,Species: Muntjac,Q266,Why is a heavily pregnant female muntjac an ideal class to cull?,Because they will not have a dependant fawn,Because their venison is the most tender,Because they are less wary so easier to stalk,Because they spend more time in the open,A,Known (in app)
Written,Species: Muntjac,Q267,Which species of deer breed regularly throughout the year?,Muntjac,Red,Sika,Chinese water deer,A,Known (in app)
Written,Species: Muntjac,Q268,How would you describe the colour of an adult muntjac in summer coat?,It is heavily spotted all over,It has a row of spots either side of the spine,It has a dark grey coat with black markings,It is a chestnut colour brown with white under parts,D,Known (in app)
Written,Species: Muntjac,Q269,During which period are muntjac born?,All through the year,December-March,April-May,The month of July,A,Known (in app)
Written,Species: Muntjac,Q270,During which period are muntjac bucks fertile?,All through the year,June-August,December-March,October-November,A,Known (in app)
Written,Species: Muntjac,Q271,A muntjac seen in velvet in December is probably?,Growing his first antlers,Very old,In poor health,A typical adult,A,Known (in app)
Written,Species: Muntjac,Q272,Which species of deer in UK has black lines and bony ridges running from its eyes to its antler bases?,Sika deer,Muntjac deer,Chinese water deer,Fallow deer,B,Known (in app)
Written,Species: Muntjac,Q273,During which period of the year are muntjac antlers normally cast?,December/January,February/March,April/May,October/November,C,Known (in app)
Written,Species: Chinese Water Deer,Q274,Which of these species has the most limited distribution in Britain?,Sika,Chinese water deer,Muntjac,Fallow,B,Known (in app)
Written,Species: Chinese Water Deer,Q275,Which species of deer are associated with reed-bed habitats?,Sika,Fallow,Chinese water deer,Muntjac,C,Known (in app)
Written,Species: Chinese Water Deer,Q276,Which species of deer has hind legs that appear to be longer than their forelegs?,Fallow deer,Roe deer,Chinese water deer,Sika deer,C,Known (in app)
